utility_to_osm - WARNING - ssr:stedsnr = 94945 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 96617 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 96659 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 119847. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 119869. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 120876. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 122127 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122076 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122080 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122083 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122086 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122087 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122312 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 122320 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123017 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123018 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123068 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123073 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123079 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123208 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123118 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123126 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123140 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123142 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123174 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124909 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124919 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 144602 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 148371 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 148455 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149007 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 149014 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 156161 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 157630 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 169109 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 180564. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 183217 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183224 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183225 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183231 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183191 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183193 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183195 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183303 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183351 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183356 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 183293 has multiple (2) positions, using the first one!
