utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3007/3007-ssr.xml? Trying to re-download
utility_to_osm - WARNING - ssr:stedsnr = 249753 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249756: No priority spelling found for lang = no, using alt_name to get "[('no', 'Strømsoddbygda')]"
utility_to_osm - WARNING - ssr:stedsnr = 249756 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249759 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249897 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249864 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249901 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249938 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 249998 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250492 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250499 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250545 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250521 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250600 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250565 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250627 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 125762 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126153 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126159 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126046: No priority spelling found for lang = no, using alt_name to get "[('no', 'Nyseteråsen')]"
utility_to_osm - ERROR - ssr:stedsnr = 126355: Adding multiple names to name tag, this is not OK! name = "Haugsenga;Enga"
utility_to_osm - WARNING - ssr:stedsnr = 126251 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 126605 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127615 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127616 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127396 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127397 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127401 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127542 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127554 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127596: No priority spelling found for lang = no, using alt_name to get "[('no', 'Stormyrsetra')]"
utility_to_osm - WARNING - ssr:stedsnr = 127600 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127844 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127848 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127857 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127897 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127906 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127910 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 127954 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128534 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128601 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128487 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128501 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128610 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 128837 has multiple (2) positions, using the first one!
