utility_to_osm - ERROR - ERROR, no ending in ssr2_to_osm_data/data/3821/3821-ssr.xml? Trying to re-download "/app:Skrivemåte>
          </app:skrivemåte>
        </app:Stedsnavn>
      </app:stedsnavn>
    </app:Sted>
  </wfs:member"
utility_to_osm - WARNING - ssr:stedsnr = 96321 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 110579 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 110707 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 111312 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 113679 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123070 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123075 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123077 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123139 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123140 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123533 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123403 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123603 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123702 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123707 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123764 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123960 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123804 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123817 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123867 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 123869 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124304 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 124323 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 252640 has multiple (6) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 171702 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184044 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184045 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184206 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184447 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184343 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184510 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184511 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184520 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184737 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184738 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184681 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184684 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184813 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184842 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184893 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 184901 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185133 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185197 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185339 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185345 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185233 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185403 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 185381 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233004 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233954 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 233956 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245080 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245106 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245128 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245607 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245611 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245617 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245622 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245629 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245640 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245647 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245648 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245431 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245433 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245703 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245709 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245718 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245735 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245751 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245802 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245806 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245808 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245809 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245814 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245822 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245881 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245891 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 246011 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 245909 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 268787. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 289482 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 289486 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 292495 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 293274. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 293276 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305112 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305263 has multiple (8) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305436 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305454 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305479 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305807 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305812 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305562 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 305573 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306077 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306606 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306612 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306618 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306620 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306633 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306902 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306679 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306683 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 306856 has multiple (3) positions, using the first one!
