utility_to_osm - WARNING - ssr:stedsnr = 319813: No priority spelling found for lang = no, using alt_name to get "[('no', 'Sandvær')]"
utility_to_osm - WARNING - ssr:stedsnr = 319813 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319935 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319984 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319987 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319999 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320124 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 319893 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320033 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320463 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320639 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320641 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320788 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 320883 has multiple (7) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 469515 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 347560 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380020 has multiple (4) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 380110: Adding multiple names to name tag, this is not OK! name = "Nigelskjeret;Neglskjeret"
utility_to_osm - WARNING - ssr:stedsnr = 380110 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380112: No priority spelling found for lang = no, using alt_name to get "[('no', 'Hestmonkallen'), ('no', 'Hestmannen')]"
utility_to_osm - ERROR - ssr:stedsnr = 380112: Adding multiple names to name tag, this is not OK! name = "Hestmonkallen;Hestmannen"
utility_to_osm - WARNING - ssr:stedsnr = 380112 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380305 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380327 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380224 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380263 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380286 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380424 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 380702: Adding multiple names to name tag, this is not OK! name = "Storaurflesa;Aurflesa"
utility_to_osm - WARNING - ssr:stedsnr = 380702 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380663: No priority spelling found for lang = no, using alt_name to get "[('no', 'Oterværet')]"
utility_to_osm - WARNING - ssr:stedsnr = 380663 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380763 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380770 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380780 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380921 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380924 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380927 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380967 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 380871 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 415005 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441006 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441011 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441013 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441021 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441039 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441041 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441044 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441101 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441148 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441235 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441300 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441388 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 441716 has multiple (3) positions, using the first one!
