utility_to_osm - WARNING - ssr:stedsnr = 382611 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 386254 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 413435: No priority spelling found for lang = se, using alt_name to get "[('no', 'Cunorøysa')]"
utility_to_osm - WARNING - ssr:stedsnr = 413435 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 419491 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442113 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442305 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442307 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442310 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442313 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442340 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442388 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442396 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442401 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442442 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442443 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442488 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442497 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442638 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442640 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442646: No priority spelling found for lang = se, using alt_name to get "[('no', 'Skoelvdalen'), ('se', 'Várdnolvuopmi')]"
utility_to_osm - WARNING - ssr:stedsnr = 442646 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442542 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442593 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 442683 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443285 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 443290. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 443296: No priority spelling found for lang = se, using alt_name to get "[('no', 'Malmelvskardet'), ('se', 'Skadjariehppi')]"
utility_to_osm - WARNING - ssr:stedsnr = 443538 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443604 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443607 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443915 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443929 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 443932 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 494514 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 502610 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503106 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503024 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503302 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503310 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503372 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503525 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503403 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503424 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503428 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503434 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503602 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503604 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503618 has multiple (2) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 503619: Adding multiple names to name tag, this is not OK! name = "Skredbekken;Øvre Skredbekk"
utility_to_osm - WARNING - ssr:stedsnr = 503619 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 503871 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685316 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685319: No priority spelling found for lang = se, using alt_name to get "[('se', 'Gealočahca')]"
utility_to_osm - WARNING - ssr:stedsnr = 685319 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685033 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685040 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685071 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685170 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685259 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685266 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685269 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685287: No priority spelling found for lang = se, using alt_name to get "[('no', 'Påveskardelva'), ('se', 'Guhturjohka')]"
utility_to_osm - WARNING - ssr:stedsnr = 685362 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685320 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 685325: Adding multiple names to name tag, this is not OK! name = "Kråksundbekken;Kråkstenbekken"
utility_to_osm - WARNING - ssr:stedsnr = 685325 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685455 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685459: No priority spelling found for lang = se, using alt_name to get "[('no', 'Bangkletten'), ('se', 'Oarjjit Duolljegáisi')]"
utility_to_osm - WARNING - ssr:stedsnr = 685459 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685466 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 685385 has multiple (2) positions, using the first one!
