utility_to_osm - ERROR - ssr:stedsnr = 107740. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 250044 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250045 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250099 has multiple (5) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250103 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250106 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250062 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250074 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250084 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250089 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250149 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250112 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250119 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250121 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250198 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 114524 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250544 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 115816 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250536 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250594 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250555 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250582 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250851 has multiple (3) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250991 has multiple (3) positions, using the first one!
utility_to_osm - ERROR - ssr:stedsnr = 118205. No positions found, skipping
utility_to_osm - ERROR - ssr:stedsnr = 118218. No positions found, skipping
utility_to_osm - WARNING - ssr:stedsnr = 250820 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250831 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 118292 has multiple (2) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250897 has multiple (4) positions, using the first one!
utility_to_osm - WARNING - ssr:stedsnr = 250904 has multiple (2) positions, using the first one!
